,TimeReviewed,Solar_Power_Generation( Kw),LUX Level(lx),Panel_Temp( C),Temp( C),Solar Irradiance(W/m2),weekday,day_type
0,01-01-2018,0.344000012,54,0,26,0,0,1
1,02-01-2018,38.13199997,59,60.20000076,26,9811,1,0
2,03-01-2018,36.70600128,38,60.79999924,26,9057,2,0
3,04-01-2018,27.84199905,49,58.40000153,26,9289,3,0
4,05-01-2018,35.29700089,52,54.20000076,26,8579,4,0
5,06-01-2018,33.57699966,47,55.70000076,26,8359,5,0
6,07-01-2018,10.12699986,45,53.59999847,26,7776,6,1
7,08-01-2018,34.33300018,50,51.40000153,26,8551,0,0
8,09-01-2018,37.70100021,52,52.5,26,8856,1,0
9,10-01-2018,31.55900002,38,43.70000076,26,10812,2,0
10,11-01-2018,37.81000137,49,55.79999924,25,10554,3,0
11,12-01-2018,19.24600029,29,42.09999847,26,4565,4,0
12,13-01-2018,29.34499931,64,54.79999924,26,8885,5,0
13,14-01-2018,0.30399999,65,55.40000153,27,9943,6,1
14,15-01-2018,0.316000015,60,57.79999924,27,9672,0,0
15,16-01-2018,33.06100082,52,53.70000076,27,9012,1,0
16,17-01-2018,25.25399971,43,48,27,7915,2,0
17,18-01-2018,35.62900162,57,52,27,9464,3,0
18,19-01-2018,36.44200134,63,51.5,26,9729,4,0
19,20-01-2018,34.43899918,58,56.59999847,26,9720,5,0
20,21-01-2018,12.34200001,57,55.20000076,26,9072,6,1
21,22-01-2018,31.48800087,58,56.20000076,26,8818,0,0
22,23-01-2018,31.04000092,42,56.79999924,26,8660,1,0
23,24-01-2018,31.96500015,48,58.70000076,26,8539,2,0
24,25-01-2018,32.32099915,49,58.09999847,27,8959,3,0
25,26-01-2018,11.89500046,52,56.29999924,27,8578,4,1
26,27-01-2018,31.77300072,54,56.90000153,27,8949,5,0
27,28-01-2018,11.44900036,48,55.29999924,27,8410,6,1
28,29-01-2018,33.35100174,60,53.70000076,27,9044,0,0
29,30-01-2018,34.34799957,56,54.90000153,27,9398,1,0
30,31-01-2018,34.37799835,58,57.09999847,27,9257,2,0
31,01-02-2018,35.00999832,65,56.40000153,27,9748,3,0
32,02-02-2018,35.06299973,65,55.59999847,27,9518,4,0
33,03-02-2018,35.63600159,65,53.79999924,27,9513,5,0
34,04-02-2018,13.30900002,64,58,27,9585,6,1
35,05-02-2018,34.68399811,63,57.20000076,27,9278,0,0
36,06-02-2018,35.77099991,61,60.40000153,27,9939,1,0
37,07-02-2018,32.37599945,36,59.09999847,28,10210,2,0
38,08-02-2018,40.45800018,53,60,27,11016,3,0
39,09-02-2018,35.88000107,58,62.59999847,27,9593,4,0
40,10-02-2018,34.39599991,58,59.79999924,27,9947,5,0
41,11-02-2018,5.355000019,61,57.09999847,27,9508,6,1
42,12-02-2018,37.38800049,47,53.59999847,27,10097,0,0
43,13-02-2018,36.14300156,46,53.70000076,27,9534,1,0
44,14-02-2018,39.82799911,47,54.5,27,10034,2,0
45,15-02-2018,43.125,61,53.20000076,27,10245,3,0
46,16-02-2018,34.51800156,55,55.5,28,9786,4,0
47,17-02-2018,39.8030014,64,59.5,27,9937,5,0
48,18-02-2018,3.049999952,59,57.5,27,10003,6,1
49,19-02-2018,37.69100189,65,55.90000153,27,10001,0,0
50,20-02-2018,41.23899841,62,54,27,9678,1,0
51,21-02-2018,41.91899872,61,54.20000076,27,9676,2,0
52,22-02-2018,42.12900162,63,55.20000076,27,9843,3,0
53,23-02-2018,41.86500168,62,56.70000076,27,9809,4,0
54,24-02-2018,42.66600037,61,55.20000076,27,9772,5,0
55,25-02-2018,3.048000097,65,60,28,10411,6,1
56,26-02-2018,39.37400055,65,61.79999924,28,10097,0,0
57,27-02-2018,42.38299942,65,56,27,10891,1,0
58,28-02-2018,41.80500031,65,59.5,32,9960,2,0
59,01-03-2018,40.77000046,65,59.09999847,32,10035,3,0
60,02-03-2018,36.33000183,65,59.20000076,32,10044,4,0
61,03-03-2018,37.06399918,65,56.20000076,27,8505,5,0
62,04-03-2018,3.186000109,65,60.79999924,29,9897,6,1
63,05-03-2018,39.93799973,65,62.90000153,28,9908,0,0
64,06-03-2018,39.75500107,64,60.70000076,28,9785,1,0
65,07-03-2018,40.8219986,65,62.40000153,27,10110,2,0
66,08-03-2018,39.72900009,65,57.09999847,27,9938,3,0
67,09-03-2018,32.9280014,65,58.90000153,28,9999,4,0
68,10-03-2018,35.2879982,61,53.09999847,28,8738,5,0
69,11-03-2018,3.358999968,55,55.70000076,28,9259,6,1
70,12-03-2018,41.50400162,62,54.70000076,28,9944,0,0
71,13-03-2018,42.63100052,65,47.59999847,28,9176,1,0
72,14-03-2018,38.09999847,51,50,27,7836,2,0
73,15-03-2018,46.81999969,61,61,27,12568,3,0
74,16-03-2018,41.27799988,61,65.5,26,11050,4,0
75,17-03-2018,42.09899902,65,62.90000153,27,12022,5,0
76,18-03-2018,5.137000084,24,63.90000153,27,10402,6,1
77,19-03-2018,41.70100021,24,60,27,9982,0,0
78,20-03-2018,43.20299911,61,62.09999847,28,9465,1,0
79,21-03-2018,37.19300079,58,63.59999847,27,9280,2,0
80,22-03-2018,41.58000183,52,62.40000153,27,9148,3,0
81,23-03-2018,36.35599899,51,61.79999924,28,8860,4,0
82,24-03-2018,41.03300095,52,62.79999924,28,9221,5,0
83,25-03-2018,3.006000042,56,58.40000153,29,9462,6,1
84,26-03-2018,43.8409996,58,59.70000076,29,10187,0,0
85,27-03-2018,37.61299896,63,64.5,28,10399,1,0
86,28-03-2018,38.50799942,59,62.90000153,28,9499,2,0
87,29-03-2018,35.94800186,51,62.70000076,28,9238,3,0
88,30-03-2018,34.23699951,52,63.09999847,28,8918,4,0
89,31-03-2018,36.20199966,51,59.70000076,28,8881,5,0
90,01-04-2018,2.914000034,52,62.29999924,29,9397,6,1
91,02-04-2018,34.86199951,50,61.79999924,29,9609,0,0
92,03-04-2018,36.75099945,51,64.59999847,28,9644,1,0
93,04-04-2018,37.98600006,57,63.90000153,28,10286,2,0
